price,model,energy,gear_box,kilometers,year,zip_code,cylinder,horsepower,picture,origin,firstCirculationDate,technicalControl,firstHand,owners,externalColor,internalColor,doors,seats,length,trunkVolumeRange,ratedHorsePower,pollutionNorm,critAir,co2,page
17 610 €,PEUGEOT 5008 II,Diesel,Manuelle,118 785 km,2018,91 ‌,1.6,120,https://image-annonce.lacentrale.fr/480x369/E112287161_STANDARD_0.jpg?version=1683883257,France,08/04/2018,Requis,Non,2,gris titanium,gris,5,7,4,53 m,Grand coffre,6 CV,EURO6,2,B,1
14 190 €,PEUGEOT 2008 phase 2,Essence,Automatique,99 965 km,2017,91 ‌,1.2,110,https://image-annonce.lacentrale.fr/480x369/E112287152_STANDARD_0.jpg?version=1683889363,France,14/12/2017,Requis,Non,2,rouge,,5,5,4,16 m,Moyen Coffre,6 CV,EURO6,1,B,1
17 130 €,RENAULT KADJAR phase 2,Diesel,Manuelle,39 555 km,2021,91 ‌,1.5,115,https://image-annonce.lacentrale.fr/480x369/E112287157_STANDARD_0.jpg?version=1683883821,France,29/06/2021,Non requis,Oui,,gris,noir,5,5,4,45 m,Moyen Coffre,6 CV,EURO6,2,C,1
16 830 €,RENAULT GRAND SCENIC IV,Diesel,Automatique,95 118 km,2018,91 ‌,1.5,110,https://image-annonce.lacentrale.fr/480x369/E112287155_STANDARD_0.jpg?version=1683882700,France,09/05/2018,Requis,Oui,,gris,noir,5,7,4,64 m,Moyen Coffre,5 CV,EURO6,2,B,1
16 450 €,RENAULT CAPTUR phase 2,Diesel,Manuelle,112 240 km,2019,34 ‌,1.5,110,https://image-annonce.lacentrale.fr/480x369/E112289810_STANDARD_0.jpg?version=1683885801,France,24/08/2019,Non requis,Non,,platine,,5,5,4,12 m,Moyen Coffre,5 CV,EURO6,2,A,1
8 880 €,RENAULT CLIO IV SOCIETE phase 2,Diesel,Manuelle,99 816 km,2019,91 ‌,1.5,75,https://image-annonce.lacentrale.fr/480x369/E112287162_STANDARD_0.jpg?version=1683894937,France,23/01/2020,Non requis,Oui,,blanc,noir,5,2,4,06 m,,4 CV,EURO6,2,B,1
88 030 €,AUDI Q7 II phase 2,Hybrides,Automatique,135 785 km,2021,01 ‌,3,462,https://image-annonce.lacentrale.fr/480x369/E112287095_STANDARD_0.jpg?version=1683885862,France,01/06/2021,Non requis,Oui,,Gris,Noir,5,5,5,06 m,Grand coffre,22 CV,EURO6,1,A,1
26 200 €,AUDI Q2,Essence,Manuelle,72 225 km,2019,01 ‌,1.4,150,https://image-annonce.lacentrale.fr/480x369/E112287107_STANDARD_0.jpg?version=1683882247,France,26/01/2020,Non requis,Non,3,Noir,Noir,5,5,4,19 m,Moyen Coffre,8 CV,EURO6,1,C,1
35 650 €,BMW X4 F26,Diesel,Automatique,180 710 km,2016,95 ‌,3,258,https://image-annonce.lacentrale.fr/480x369/W102662466_STANDARD_0.jpg?version=1683876928,France,16/06/2016,Requis,Non,2,blanc verni,cuir noir,5,5,4,67 m,Moyen Coffre,16 CV,EURO6,2,D,1
34 480 €,KIA E-NIRO phase 2,Électrique,Automatique,44 137 km,2022,30 ‌,64,204,https://image-annonce.lacentrale.fr/480x369/E112289782_STANDARD_0.jpg?version=1683879496,France,21/10/2022,Non requis,Non,2,bleu foncé,noir,5,5,4,38 m,Moyen Coffre,3 CV,EURO6,0,A,1
22 280 €,MINI III CABRIOLET,Essence,Automatique,62 684 km,2018,91 ‌,1.5,136,https://image-annonce.lacentrale.fr/480x369/E112287154_STANDARD_0.jpg?version=1683881537,France,25/05/2018,Requis,Non,2,noir,noir,2,4,3,82 m,Moyen Coffre,7 CV,EURO6,1,C,1
28 270 €,HYUNDAI I30 III phase 2,Diesel,Automatique,21 432 km,2023,33 ‌,1.6,115,https://image-annonce.lacentrale.fr/480x369/E112289706_STANDARD_0.jpg?version=1683884272,France,04/03/2023,Non requis,Oui,,gris,gris,5,5,4,34 m,Grand coffre,6 CV,EURO6,2,C,1
25 510 €,AUDI A3 (3E GENERATION) SPORTBACK,Essence,Manuelle,32 373 km,2020,34 ‌,1,116,https://image-annonce.lacentrale.fr/731x553/E112289820_360EXTERIEUR_0.jpg?version=1683895108,Importé,24/06/2020,Non requis,Non,,blanc,,5,,,,6 CV,,Euro 1 et avant,B,1
68 320 €,BMW X6 F16,Diesel,Automatique,65 490 km,2019,45 ‌,3,313,https://image-annonce.lacentrale.fr/480x369/E112286782_STANDARD_0.jpg?version=1683877184,France,22/05/2019,Requis,Non,2,noir,,5,5,4,91 m,Moyen Coffre,20 CV,EURO6,2,E,1
19 330 €,RENAULT MEGANE IV ESTATE phase 2,Diesel,Manuelle,36 487 km,2021,91 ‌,1.5,115,https://image-annonce.lacentrale.fr/480x369/E112287150_STANDARD_0.jpg?version=1683877185,France,28/04/2021,Non requis,Non,3,gris titanium,noir,5,5,4,63 m,Moyen Coffre,6 CV,EURO6,2,B,1
20 880 €,PEUGEOT 308 II phase 2,Diesel,Automatique,109 890 km,2019,24 ‌,2,180,https://image-annonce.lacentrale.fr/480x369/E112285850_STANDARD_0.jpg?version=1683880639,France,16/06/2019,Non requis,Non,2,noir,,5,5,4,25 m,Grand coffre,9 CV,EURO6,2,B,1
20 880 €,PEUGEOT 308 II phase 2,Diesel,Automatique,109 890 km,2019,24 ‌,2,180,https://image-annonce.lacentrale.fr/480x369/E112285850_STANDARD_0.jpg?version=1683880639,France,16/06/2019,Non requis,Non,2,noir,,5,5,4,25 m,Grand coffre,9 CV,EURO6,2,B,2
18 320 €,CITROEN C3 (3E GENERATION),Essence,Manuelle,20 479 km,2023,77 ‌,1.2,83,https://image-annonce.lacentrale.fr/480x369/E112286562_STANDARD_0.jpg?version=1683880014,Importé,30/10/2023,Non requis,Non,,noir,,5,,,,4 CV,,Euro 1 et avant,C,2
16 830 €,RENAULT GRAND SCENIC IV,Diesel,Automatique,95 118 km,2018,91 ‌,1.5,110,https://image-annonce.lacentrale.fr/480x369/E112287155_STANDARD_0.jpg?version=1683882700,France,09/05/2018,Requis,Oui,,gris,noir,5,7,4,64 m,Moyen Coffre,5 CV,EURO6,2,B,2
23 720 €,RENAULT CAPTUR 2,Essence,Manuelle,11 km,2024,77 ‌,1,90,https://image-annonce.lacentrale.fr/480x369/E112286561_STANDARD_0.jpg?version=1683887878,Importé,26/06/2024,Non requis,Non,,gris,,5,,,,5 CV,,Euro 1 et avant,C,2
26 800 €,RENAULT CLIO 5,Essence,Manuelle,12 km,2024,77 ‌,1,90,https://image-annonce.lacentrale.fr/480x369/E112286555_STANDARD_0.jpg?version=1683882701,Importé,25/06/2024,Non requis,Non,,gris,,5,,,,5 CV,,Euro 1 et avant,B,2
27 020 €,RENAULT CLIO 5,Essence,Manuelle,12 km,2024,77 ‌,1,90,https://image-annonce.lacentrale.fr/480x369/E112286556_STANDARD_0.jpg?version=1683881645,Importé,09/10/2024,Non requis,Non,,noir,,5,,,,5 CV,,Euro 1 et avant,B,2
105 180 €,AUDI RS Q3 II SPORTBACK,Essence,Automatique,39 195 km,2022,01 ‌,2.5,400,https://image-annonce.lacentrale.fr/480x369/E112287096_STANDARD_0.jpg?version=1683893753,France,23/04/2022,Non requis,Non,2,Gris,Noir,5,5,4,51 m,Moyen Coffre,28 CV,EURO6,1,F,2
19 680 €,TOYOTA AURIS II phase 2,Hybrides,Automatique,73 155 km,2019,91 ‌,1.8,136,https://image-annonce.lacentrale.fr/480x369/E112287149_STANDARD_0.jpg?version=1683880068,France,31/10/2019,Non requis,Non,2,blanc,gris,5,5,4,33 m,Moyen Coffre,5 CV,EURO6,1,A,2
47 280 €,AUDI Q3 II SPORTBACK,Diesel,Automatique,83 607 km,2022,76 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112287971_STANDARD_0.jpg?version=1683885386,France,30/12/2022,Non requis,Oui,,Gris,Gris,5,5,4,50 m,Moyen Coffre,8 CV,EURO6,2,D,2
28 870 €,RENAULT CAPTUR 2,Essence,Manuelle,12 km,2023,77 ‌,1,90,https://image-annonce.lacentrale.fr/480x369/E112286551_STANDARD_0.jpg?version=1683880415,Importé,30/07/2023,Non requis,Non,,gris,,5,,,,5 CV,,Euro 1 et avant,C,2
41 380 €,VOLKSWAGEN TIGUAN 2,Essence,Automatique,11 km,2024,77 ‌,1.5,150,https://image-annonce.lacentrale.fr/480x369/E112286563_STANDARD_0.jpg?version=1683888087,Importé,04/05/2024,Non requis,Non,,gris,,5,,,,8 CV,,Euro 1 et avant,D,2
20 880 €,AUDI A1 phase 2,Essence,Automatique,53 550 km,2017,01 ‌,1.4,125,https://image-annonce.lacentrale.fr/480x369/E112287105_STANDARD_0.jpg?version=1683877953,France,18/06/2017,Requis,Non,3,Noir,Noir,3,4,3,97 m,Grand coffre,6 CV,EURO6,1,B,2
68 950 €,AUDI Q5 II phase 2,Diesel,Automatique,7 857 km,2023,31 ‌,2,163,https://image-annonce.lacentrale.fr/480x369/E112285861_STANDARD_0.jpg?version=1683880416,France,01/09/2023,Non requis,Oui,,gris,,5,5,4,68 m,Moyen Coffre,9 CV,EURO6,2,D,2
21 260 €,FIAT TALENTO II,Diesel,Manuelle,121 802 km,2018,66 ‌,1.6,145,https://image-annonce.lacentrale.fr/480x369/E112286926_STANDARD_0.jpg?version=1683876756,France,09/03/2018,Requis,Oui,,blanc,,4,3,5 m,,5 CV,EURO6,2,D,2
23 970 €,VOLKSWAGEN POLO VI,Essence,Manuelle,48 293 km,2021,01 ‌,1,95,https://image-annonce.lacentrale.fr/480x369/E112286873_STANDARD_0.jpg?version=1683879496,France,03/03/2021,Non requis,Oui,,Blanc,Noir,5,5,4,05 m,Grand coffre,5 CV,EURO6,1,C,2
30 980 €,LAND ROVER RANGE ROVER EVOQUE phase 2,Diesel,Automatique,132 157 km,2017,92 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112287376_STANDARD_0.jpg?version=1683882439,France,24/12/2017,Requis,Oui,,noir,gris,5,5,4,36 m,Moyen Coffre,8 CV,EURO6,2,C,2
41 380 €,VOLKSWAGEN TIGUAN 2,Essence,Automatique,11 km,2024,77 ‌,1.5,150,https://image-annonce.lacentrale.fr/480x369/E112286563_STANDARD_0.jpg?version=1683888087,Importé,04/05/2024,Non requis,Non,,gris,,5,,,,8 CV,,Euro 1 et avant,D,3
8 880 €,RENAULT CLIO IV SOCIETE phase 2,Diesel,Manuelle,99 816 km,2019,91 ‌,1.5,75,https://image-annonce.lacentrale.fr/480x369/E112287162_STANDARD_0.jpg?version=1683894937,France,23/01/2020,Non requis,Oui,,blanc,noir,5,2,4,06 m,,4 CV,EURO6,2,B,3
26 800 €,RENAULT CLIO 5,Essence,Manuelle,12 km,2024,77 ‌,1,90,https://image-annonce.lacentrale.fr/480x369/E112286555_STANDARD_0.jpg?version=1683882701,Importé,25/06/2024,Non requis,Non,,gris,,5,,,,5 CV,,Euro 1 et avant,B,3
26 110 €,PORSCHE CAYENNE phase 2,Essence,Automatique,153 625 km,2009,69 ‌,3.6,290,https://image-annonce.lacentrale.fr/480x369/W102663392_STANDARD_0.jpg?version=1683900170,France,04/11/2009,Requis,Non,,noir metal,cuir beige,5,5,4,80 m,Moyen Coffre,21 CV,EURO4,2,G,3
27 140 €,DACIA DUSTER 2,Essence,Automatique,11 km,2024,77 ‌,1.3,150,https://image-annonce.lacentrale.fr/480x369/E112286540_STANDARD_0.jpg?version=1683888087,Importé,09/11/2024,Non requis,Non,,gris,,5,,,,8 CV,,Euro 1 et avant,D,3
63 580 €,AUDI Q5 II,Essence,Automatique,26 500 km,2022,84 ‌,2,265,https://image-annonce.lacentrale.fr/480x369/W102662953_STANDARD_1.jpg?version=1683884010,Importé,14/01/2023,Non requis,Oui,,noir metal,cuir rouge,5,5,4,66 m,Moyen Coffre,16 CV,EURO6,1,,3
16 830 €,RENAULT GRAND SCENIC IV,Diesel,Automatique,95 118 km,2018,91 ‌,1.5,110,https://image-annonce.lacentrale.fr/480x369/E112287155_STANDARD_0.jpg?version=1683882700,France,09/05/2018,Requis,Oui,,gris,noir,5,7,4,64 m,Moyen Coffre,5 CV,EURO6,2,B,3
24 380 €,LEXUS CT phase 3,Hybrides,Automatique,93 086 km,2019,95 ‌,1.8,200,https://image-annonce.lacentrale.fr/480x369/W102663431_STANDARD_0.jpg?version=1683901166,France,28/01/2020,Non requis,Non,2,bleu metal,cuir blanc,5,5,4,35 m,Grand coffre,5 CV,EURO6,1,A,3
31 300 €,RENAULT ARKANA,Hybrides,Automatique,66 705 km,2022,95 ‌,1.6,145,https://image-annonce.lacentrale.fr/480x369/W102662858_STANDARD_0.jpg?version=1683879923,France,25/04/2022,Non requis,Non,2,noir metal,tissu gris,5,5,4,57 m,Moyen Coffre,5 CV,EURO6,1,B,3
19 260 €,RENAULT KADJAR phase 2,Diesel,Automatique,97 866 km,2021,91 ‌,1.5,115,https://image-annonce.lacentrale.fr/480x369/E112287156_STANDARD_0.jpg?version=1683881536,France,05/08/2021,Non requis,Oui,,gris,noir,5,5,4,45 m,Moyen Coffre,6 CV,EURO6,2,C,3
20 530 €,CITROEN C3 (3E GENERATION),Essence,Manuelle,20 489 km,2023,77 ‌,1.2,83,https://image-annonce.lacentrale.fr/480x369/E112286554_STANDARD_0.jpg?version=1683887522,Importé,29/06/2023,Non requis,Non,,gris,,5,,,,4 CV,,Euro 1 et avant,C,3
20 630 €,RENAULT CLIO 5,Essence,Manuelle,11 km,2024,77 ‌,1,90,https://image-annonce.lacentrale.fr/480x369/E112286539_STANDARD_0.jpg?version=1683877953,Importé,25/12/2024,Non requis,Non,,gris,,5,,,,5 CV,,Euro 1 et avant,B,3
14 870 €,RENAULT CLIO V,Diesel,Manuelle,54 250 km,2021,18 ‌,1.5,85,https://image-annonce.lacentrale.fr/480x369/E112290845_STANDARD_0.jpg?version=1683901739,France,09/06/2021,Non requis,Oui,,platine,,5,5,4,05 m,Grand coffre,4 CV,EURO6,2,B,3
18 320 €,RENAULT CLIO V,Diesel,Manuelle,43 038 km,2021,18 ‌,1.5,85,https://image-annonce.lacentrale.fr/480x369/E112290840_STANDARD_0.jpg?version=1683901739,France,30/09/2021,Non requis,Oui,,platine,,5,5,4,05 m,Grand coffre,4 CV,EURO6,2,B,3
17 910 €,RENAULT KADJAR phase 2,Diesel,Manuelle,80 725 km,2021,18 ‌,1.5,115,https://image-annonce.lacentrale.fr/480x369/E112290844_STANDARD_0.jpg?version=1683901940,France,07/01/2022,Non requis,Oui,,gris titanium,noir,5,5,4,45 m,Moyen Coffre,6 CV,EURO6,2,B,3
37 160 €,RENAULT CAPTUR 2,Hybrides,Automatique,12 km,2024,77 ‌,1.6,145,https://image-annonce.lacentrale.fr/480x369/E112286553_STANDARD_0.jpg?version=1683885801,Importé,27/04/2024,Non requis,Non,,blanc,,5,,,,5 CV,,Euro 1 et avant,B,3
68 320 €,BMW X6 F16,Diesel,Automatique,65 490 km,2019,45 ‌,3,313,https://image-annonce.lacentrale.fr/480x369/E112286782_STANDARD_0.jpg?version=1683877184,France,22/05/2019,Requis,Non,2,noir,,5,5,4,91 m,Moyen Coffre,20 CV,EURO6,2,E,4
24 520 €,MERCEDES CLA,Diesel,Automatique,144 480 km,2014,24 ‌,2.1,220,https://image-annonce.lacentrale.fr/480x369/W102663421_STANDARD_0.jpg?version=1683901166,France,11/12/2014,Requis,Non,2,blanc verni,cuir noir,4,5,4,64 m,Grand coffre,9 CV,EURO6,2,B,4
17 130 €,RENAULT KADJAR phase 2,Diesel,Manuelle,39 555 km,2021,91 ‌,1.5,115,https://image-annonce.lacentrale.fr/480x369/E112287157_STANDARD_0.jpg?version=1683883821,France,29/06/2021,Non requis,Oui,,gris,noir,5,5,4,45 m,Moyen Coffre,6 CV,EURO6,2,C,4
11 880 €,CITROEN C4 II,Essence,Manuelle,157 000 km,2016,95 ‌,1.2,130,https://image-annonce.lacentrale.fr/480x369/W102663449_STANDARD_0.jpg?version=1683902531,France,23/01/2017,Requis,Non,3,gris anthracite metal,tissu gris,5,5,4,33 m,Grand coffre,6 CV,EURO6,1,B,4
20 890 €,OPEL CROSSLAND X,Essence,Automatique,116 990 km,2020,84 ‌,1.2,120,https://image-annonce.lacentrale.fr/480x369/E112291029_STANDARD_0.jpg?version=1683902264,France,02/07/2020,Non requis,Non,,blanc,gris,5,5,4,21 m,Moyen Coffre,6 CV,EURO6,1,B,4
22 660 €,DS DS 5 phase 2,Essence,Automatique,50 247 km,2019,95 ‌,1.6,165,https://image-annonce.lacentrale.fr/480x369/W102660624_STANDARD_0.jpg?version=1683883548,France,21/02/2019,Requis,Non,2,gris metal,cuir noir,5,5,4,53 m,Grand coffre,9 CV,EURO6,1,C,4
