model,annee,mise_en_circulation,kilometrage,energie,boite,nb_portes,nb_places,premiere_main,puissance,departement
419.0,2020,2020,27297,2.0,2.0,5,4,1.0,90.0,35
87.0,2019,2019,59778,0.0,1.0,5,5,0.0,258.0,31
417.0,2007,2007,225334,0.0,2.0,4,9,0.0,135.0,28
126.0,2020,2021,14218,2.0,2.0,5,5,0.0,110.0,61
146.0,2022,2022,16426,2.0,1.0,5,5,1.0,150.0,30
393.0,2022,2022,111,2.0,2.0,5,5,0.0,90.0,84
13.0,2017,2017,91213,0.0,2.0,3,4,0.0,90.0,66
105.0,2018,2018,77000,0.0,1.0,5,5,0.0,190.0,69
394.0,2021,2021,16384,2.0,2.0,5,5,1.0,100.0,38
274.0,2016,2016,114428,2.0,1.0,5,5,0.0,367.0,82
197.0,2019,2019,84104,0.0,2.0,4,3,0.0,130.0,24
169.0,2020,2020,25221,2.0,2.0,3,4,0.0,69.0,34
110.0,2011,2011,76954,2.0,2.0,2,2,0.0,204.0,44
471.0,2022,2022,12,2.0,1.0,5,5,0.0,110.0,69
126.0,2021,2021,24338,2.0,2.0,5,5,1.0,83.0,24
82.0,2022,2022,11328,0.0,1.0,4,5,0.0,190.0,6
484.0,2018,2018,100620,0.0,2.0,5,5,1.0,120.0,59
485.0,2018,2019,84899,0.0,1.0,5,5,0.0,150.0,81
40.0,2019,2020,127711,0.0,2.0,5,5,0.0,190.0,24
104.0,2020,2020,20944,0.0,1.0,5,5,1.0,265.0,31
184.0,2020,2020,20267,2.0,2.0,5,5,0.0,86.0,82
386.0,2020,2020,7564,2.0,1.0,5,5,1.0,440.0,69
100.0,2021,2021,84211,0.0,1.0,5,5,1.0,150.0,95
394.0,2021,2021,29118,0.0,2.0,5,5,0.0,115.0,31
34.0,2017,2017,195566,0.0,1.0,5,5,0.0,190.0,51
266.0,2020,2020,33800,0.0,1.0,5,5,0.0,136.0,82
5.0,2017,2017,67322,2.0,1.0,5,5,0.0,170.0,77
402.0,2020,2020,12696,2.0,2.0,5,5,0.0,140.0,94
339.0,2021,2021,4409,2.0,2.0,5,4,0.0,72.0,27
329.0,2020,2020,54025,0.0,2.0,5,5,1.0,102.0,27
265.0,2022,2022,17788,0.0,1.0,5,5,0.0,116.0,38
393.0,2021,2021,30495,2.0,2.0,5,5,0.0,130.0,33
74.0,2019,2019,69409,0.0,1.0,5,5,0.0,116.0,31
126.0,2022,2022,13634,2.0,2.0,5,5,1.0,83.0,24
374.0,2015,2015,48994,2.0,1.0,2,4,0.0,520.0,67
100.0,2022,2023,13594,0.0,1.0,5,5,0.0,190.0,47
469.0,2019,2019,71400,2.0,1.0,5,5,0.0,200.0,25
267.0,2017,2017,112468,0.0,1.0,4,5,0.0,116.0,31
103.0,2018,2018,182852,0.0,1.0,5,5,0.0,190.0,38
382.0,2014,2014,123507,0.0,1.0,5,5,1.0,245.0,6
367.0,2017,2017,105878,0.0,2.0,5,5,1.0,100.0,24
422.0,2022,2022,13,0.0,1.0,5,5,0.0,150.0,69
256.0,2017,2017,29549,2.0,2.0,2,3,1.0,160.0,71
342.0,2020,2020,7065,2.0,2.0,5,5,1.0,82.0,31
413.0,2020,2021,14674,0.0,1.0,5,5,0.0,150.0,13
424.0,2022,2022,10168,2.0,2.0,5,5,0.0,150.0,33
370.0,1990,1990,201474,2.0,2.0,2,4,0.0,231.0,33
348.0,2013,2013,91086,0.0,2.0,5,5,0.0,112.0,95
211.0,2017,2017,111096,0.0,2.0,5,5,0.0,115.0,66
351.0,2015,2015,95920,0.0,2.0,5,5,1.0,92.0,84
126.0,2020,2020,49243,2.0,2.0,5,5,0.0,110.0,33
327.0,2021,2021,3575,2.0,2.0,5,5,1.0,75.0,7
188.0,2013,2013,165151,0.0,2.0,5,5,0.0,140.0,33
427.0,2019,2019,39475,2.0,2.0,5,5,0.0,60.0,33
327.0,2019,2019,58496,2.0,2.0,3,5,1.0,90.0,69
255.0,2018,2018,37515,2.0,2.0,2,2,1.0,160.0,71
488.0,2019,2019,68286,0.0,1.0,5,5,1.0,190.0,95
468.0,2018,2018,105290,0.0,2.0,5,2,1.0,75.0,35
354.0,2019,2020,113087,0.0,2.0,5,5,1.0,130.0,69
345.0,2010,2010,213189,0.0,2.0,5,5,0.0,90.0,14
306.0,2019,2019,33143,2.0,1.0,5,5,0.0,192.0,13
129.0,2019,2020,37484,0.0,2.0,5,2,1.0,99.0,78
360.0,2019,2019,104563,0.0,1.0,5,7,1.0,180.0,69
317.0,2016,2016,53899,0.0,2.0,5,5,1.0,110.0,31
394.0,2022,2022,4320,2.0,2.0,5,5,0.0,90.0,33
15.0,2021,2021,17799,2.0,1.0,5,5,1.0,116.0,30
394.0,2022,2022,11,2.0,2.0,5,5,0.0,90.0,35
346.0,2021,2021,19589,2.0,2.0,5,5,0.0,100.0,61
214.0,2018,2018,85120,0.0,1.0,5,5,0.0,300.0,24
416.0,2022,2022,12,0.0,2.0,4,3,1.0,145.0,71
471.0,2022,2022,11,2.0,1.0,5,5,0.0,110.0,69
401.0,2019,2019,74239,0.0,2.0,5,7,1.0,130.0,77
350.0,2020,2020,45206,0.0,2.0,5,5,0.0,130.0,31
3.0,2022,2022,12,2.0,1.0,4,5,1.0,280.0,49
319.0,2022,2022,11,2.0,2.0,5,5,0.0,140.0,81
55.0,2015,2015,77732,2.0,1.0,2,4,0.0,333.0,28
11.0,2014,2014,25403,2.0,1.0,3,2,1.0,426.0,69
169.0,2019,2020,42329,2.0,2.0,3,4,1.0,69.0,24
101.0,2019,2019,114921,0.0,1.0,5,5,1.0,190.0,35
350.0,2020,2020,27896,0.0,2.0,5,5,0.0,130.0,94
231.0,2022,2022,120,2.0,2.0,5,5,0.0,120.0,71
235.0,2022,2022,10440,0.0,1.0,5,5,1.0,180.0,60
350.0,2022,2022,2950,0.0,1.0,5,5,0.0,130.0,82
350.0,2017,2017,118616,0.0,2.0,5,5,1.0,120.0,26
342.0,2019,2019,33940,2.0,2.0,5,5,0.0,82.0,66
269.0,2019,2019,99150,0.0,1.0,5,5,1.0,136.0,55
97.0,2012,2012,140662,2.0,1.0,2,4,0.0,320.0,77
347.0,2018,2018,122234,0.0,2.0,5,2,1.0,75.0,78
319.0,2020,2020,54246,2.0,2.0,5,5,0.0,140.0,84
350.0,2018,2018,67911,0.0,2.0,5,5,1.0,130.0,69
476.0,2021,2021,21780,0.0,1.0,5,7,0.0,150.0,69
12.0,2010,2010,87580,2.0,1.0,2,2,0.0,510.0,33
27.0,2017,2017,79948,0.0,1.0,5,3,1.0,131.0,38
220.0,2007,2007,121232,2.0,1.0,2,4,0.0,304.0,44
169.0,2020,2020,23728,2.0,2.0,3,4,0.0,85.0,34
430.0,2022,2022,107,2.0,2.0,5,5,0.0,150.0,29
237.0,2017,2018,71104,0.0,1.0,5,5,1.0,180.0,24
388.0,2018,2018,54612,2.0,1.0,5,4,1.0,550.0,66
278.0,2020,2020,28509,0.0,1.0,4,5,0.0,194.0,84
42.0,2019,2019,106560,0.0,1.0,5,5,0.0,272.0,69
213.0,2020,2020,54233,0.0,1.0,5,5,1.0,150.0,31
440.0,2018,2018,48343,2.0,2.0,5,5,0.0,90.0,26
94.0,2018,2018,22723,0.0,1.0,5,5,1.0,190.0,31
132.0,2022,2022,13806,2.0,1.0,5,5,0.0,131.0,24
224.0,2016,2016,96432,0.0,1.0,4,5,1.0,200.0,66
292.0,2005,2005,48506,2.0,1.0,2,2,1.0,245.0,71
460.0,2015,2015,111305,2.0,1.0,5,5,0.0,300.0,25
255.0,2018,2018,37235,2.0,2.0,2,3,1.0,160.0,71
74.0,2018,2018,138360,0.0,2.0,5,5,0.0,116.0,74
386.0,2019,2019,51802,2.0,1.0,5,5,1.0,340.0,27
451.0,2018,2018,53723,2.0,1.0,4,2,1.0,125.0,78
273.0,2017,2017,126500,0.0,1.0,5,5,0.0,170.0,24
392.0,2016,2016,143376,0.0,2.0,5,5,0.0,90.0,40
87.0,2021,2021,20384,0.0,1.0,5,5,1.0,150.0,76
132.0,2022,2022,1,0.0,1.0,5,5,1.0,131.0,42
342.0,2020,2020,30434,2.0,1.0,5,5,1.0,110.0,24
135.0,2015,2015,183372,0.0,2.0,5,5,0.0,114.0,80
393.0,2022,2022,11,2.0,2.0,5,5,0.0,90.0,78
268.0,2005,2006,220898,2.0,1.0,4,5,0.0,367.0,75
168.0,2020,2020,24270,2.0,2.0,5,5,0.0,120.0,30
394.0,2022,2022,12,2.0,2.0,5,5,0.0,90.0,69
317.0,2018,2018,46000,2.0,2.0,5,5,0.0,115.0,30
15.0,2021,2021,18910,2.0,1.0,5,5,1.0,110.0,31
236.0,2012,2012,195976,0.0,2.0,5,5,1.0,160.0,77
219.0,1990,1989,73763,2.0,1.0,2,2,0.0,281.0,61
137.0,2021,2021,29363,0.0,1.0,5,5,0.0,131.0,47
394.0,2022,2022,105,2.0,1.0,5,5,0.0,90.0,29
329.0,2021,2021,5368,2.0,2.0,5,5,0.0,110.0,94
80.0,2019,2019,54848,2.0,1.0,4,5,1.0,184.0,35
121.0,2020,2020,145795,0.0,2.0,5,5,0.0,76.0,66
386.0,2019,2019,33063,2.0,1.0,5,5,1.0,360.0,27
365.0,2020,2021,86699,0.0,2.0,4,2,1.0,150.0,38
169.0,2017,2017,41776,2.0,1.0,3,4,0.0,69.0,92
